Unnamed: 0,g5,g10,g15,g20,g25,g30,totals,longitudes,latitudes,transforms,utm,zone_number,hemisphere,epsg,lat,long,path
6081,20,3,0,0,0,0,62,5715494.2436238015,326474.429813862,"| 10.00, 0.00, 326390.00|
| 0.00,-10.00, 5715500.00|
| 0.00, 0.00, 1.00|",17N,17,N,32617,51.56379243558509,-83.50358640584986,/home/ubuntu/work/satellite_data/sentinel_pauls_paper/samples/sentinel_1_2_worldwide_utm_17N_25-0000100352-0000000000_2.npz
6252,55,49,9,0,0,0,67,7785536.379446726,352900.9084401829,"| 10.00, 0.00, 352900.00|
| 0.00,-10.00, 7787440.00|
| 0.00, 0.00, 1.00|",55S,55,S,32755,-20.02136414473828,145.59368822167153,/home/ubuntu/work/satellite_data/sentinel_pauls_paper/samples/sentinel_1_2_worldwide_utm_55S_30-0000062720-0000012544_2.npz
933,5,0,0,0,0,0,12,4792804.298650845,472794.9264286472,"| 10.00, 0.00, 468210.00|
| 0.00,-10.00, 4792810.00|
| 0.00, 0.00, 1.00|",41N,41,N,32641,43.28756955284639,62.66466163833736,/home/ubuntu/work/satellite_data/sentinel_pauls_paper/samples/sentinel_1_2_worldwide_utm_41N_26-0000025088-0000025088_4.npz
931,40,3,0,0,0,0,99,4250172.383934429,735594.313152024,"| 10.00, 0.00, 735570.00|
| 0.00,-10.00, 4251760.00|
| 0.00, 0.00, 1.00|",45N,45,N,32645,38.3687464204128,89.69671780004471,/home/ubuntu/work/satellite_data/sentinel_pauls_paper/samples/sentinel_1_2_worldwide_utm_45N_26-0000075264-0000050176_4.npz
5391,40,5,2,1,0,0,133,3157897.6433979464,349779.99866446696,"| 10.00, 0.00, 346300.00|
| 0.00,-10.00, 3157920.00|
| 0.00, 0.00, 1.00|",35N,35,N,32635,28.53921059414413,25.46456023782299,/home/ubuntu/work/satellite_data/sentinel_pauls_paper/samples/sentinel_1_2_worldwide_utm_35N_27-0000025088-0000012544_3.npz
7406,1,1,0,0,0,0,4,9170717.999433173,565868.5431052202,"| 10.00, 0.00, 565390.00|
| 0.00,-10.00, 9172160.00|
| 0.00, 0.00, 1.00|",36S,36,S,32736,-7.501939989092472,33.59700991894219,/home/ubuntu/work/satellite_data/sentinel_pauls_paper/samples/sentinel_1_2_worldwide_utm_36S_29-0000075264-0000037632_3.npz
7354,18,10,0,0,0,0,25,8732873.100600813,822526.250688365,"| 10.00, 0.00, 822500.00|
| 0.00,-10.00, 8734010.00|
| 0.00, 0.00, 1.00|",36S,36,S,32736,-11.44762905595874,35.95568637119441,/home/ubuntu/work/satellite_data/sentinel_pauls_paper/samples/sentinel_1_2_worldwide_utm_36S_29-0000125440-0000062720_2.npz
8841,0,0,0,0,0,0,3,2719128.82738178,371077.2466452138,"| 10.00, 0.00, 366040.00|
| 0.00,-10.00, 2719150.00|
| 0.00, 0.00, 1.00|",13N,13,N,32613,24.580811295698417,-106.27324991146916,/home/ubuntu/work/satellite_data/sentinel_pauls_paper/samples/sentinel_1_2_worldwide_utm_13N_27-0000062720-0000012544_1.npz
75,27,1,0,0,0,0,45,4002185.433835156,468631.5870916073,"| 10.00, 0.00, 468590.00|
| 0.00,-10.00, 4004650.00|
| 0.00, 0.00, 1.00|",47N,47,N,32647,36.16391341220584,98.6512331103947,/home/ubuntu/work/satellite_data/sentinel_pauls_paper/samples/sentinel_1_2_worldwide_utm_47N_26-0000100352-0000025088_3.npz
6881,0,0,0,0,0,0,1,5557278.303840692,448422.43182004296,"| 10.00, 0.00, 443370.00|
| 0.00,-10.00, 5561820.00|
